WMO,City,Lat_S,Lon_W,Elev_m,TZ,Source,Koppen,IRAM,N_h
870220,Tartagal,22.65,63.82,450,-3,IWEC2,Aw,I,4438
870460,Jujuy,24.38,65.08,905,-3,IWEC2,BSh,II,4435
870470,Salta,24.85,65.48,1221,-3,IWEC2,BSh,II,4406
870970,Iguazu,25.73,54.47,270,-3,IWEC2,Cfa,I,4395
871620,Formosa,26.2,58.23,60,-3,IWEC2,Aw,I,4376
871490,Presidencia Roque S,26.82,60.45,92,-3,IWEC2,Cfa,II,4367
871210,Tucuman,26.85,65.1,450,-3,IWEC2,Cfa,II,4408
871780,Posadas,27.37,55.97,125,-3,IWEC2,Cfa,I,4378
871550,Resistencia,27.45,59.05,52,-3,IWEC2,Cfa,I,4376
871660,Corrientes,27.45,58.77,62,-3,IWEC2,Cfa,I,4393
999,Andalgalã¡,27.583,66.305,1071,-3,MN7,BWk,IV,4186
871290,Santiago Del Estero,27.77,64.3,199,-3,IWEC2,BSk,II,4437
872220,Catamarca,28.6,65.77,454,-3,IWEC2,BWk,III,4443
872700,Reconquista,29.18,59.7,53,-3,IWEC2,Cfa,II,4352
872170,La Rioja,29.38,66.82,429,-3,IWEC2,BWh,III,4465
872890,Paso De Los Libres,29.68,57.15,70,-3,IWEC2,Cfa,I,4381
873950,Concordia,31.3,58.02,38,-3,IWEC2,Cfa,II,4380
873440,Cordoba,31.32,64.22,474,-3,IWEC2,BSk,III,4412
873110,San Juan,31.4,68.42,598,-3,IWEC2,BWk,III,4452
873710,Sauce Viejo,31.7,60.82,18,-3,IWEC2,Cfa,III,4381
873740,Parana,31.78,60.48,78,-3,IWEC2,Cfa,II,4372
873280,Villa Dolores,31.95,65.13,569,-3,IWEC2,BSk,III,4418
874180,Mendoza,32.83,68.78,704,-3,IWEC2,BWk,III,4428
874800,Rosario,32.92,60.78,25,-3,IWEC2,Cfa,III,4370
874970,Gualeguaychu,33.0,58.62,21,-3,IWEC2,Cfa,II,4355
874360,San Luis,33.27,66.35,713,-3,IWEC2,BSk,III,4403
874480,Villa Reynolds,33.73,65.38,486,-3,IWEC2,BSk,III,4434
875480,Junin,34.55,60.92,81,-3,IWEC2,BSk,III,4368
875820,Aeroparque Bs As,34.57,58.42,6,-3,IWEC2,Cfa,III,4335
875090,San Rafael,34.58,68.4,748,-3,IWEC2,BWk,IV,4424
875060,Malargue,35.5,69.58,1425,-3,IWEC2,BWk,IV,4425
,General Pico Airp.,35.7,63.75,145,-3,TMY2-87532,BSk,III,4238
876230,Santa Rosa,36.57,64.27,191,-3,IWEC2,BSk,IV,4395
877150,Neuquen,38.95,68.13,271,-3,IWEC2,BSk,IV,4382
877910,Viedma,40.85,63.02,7,-3,IWEC2,BSk,IV,4357
877650,Bariloche,41.15,71.17,840,-3,IWEC2,Cfb,V,4387
878030,Esquel,42.93,71.15,797,-3,IWEC2,BSk,V,4362
878280,Trelew,43.2,65.27,43,-3,IWEC2,BWk,V,4374
878600,Comodoro Rivadavia,45.78,67.5,46,-3,IWEC2,BSk,V,4356
879250,Rio Gallegos,51.62,69.28,19,-3,IWEC2,BSk,VI,4338
879380,Ushuaia,54.8,68.32,57,-3,IWEC2,ET,VI,4304
